,rider_provider,GrossProfit,GrossMargin,WorkingCapitalRatio,EarningPerShare,DebtToEquityRatio,PEratio,ReturnOfEquity,EBIDTAratio,EvRatio,EVbyEbidta,ChurnRate,GrowthRate,ProfitMargin,RuleOf40,MarketCap,MagicNumber,wce_label,eps_label,de_label,pe_label,roe_label,growth_rate_label,profitm_label,grossm_label,ro40_label,churnrate_label,EVbyEbidta_label,marketCap_label,magicNum_label
1,1535527_2020,,,2.376080925418174,-0.20339754425724,0.6644540477316614,,-2.9509221716005913,,,,-0.0,-0.0,-0.0,-0.0,,-0.15462447132255855,0.0,0.0,1.0,,0.0,0.0,0.0,,0.0,1.0,,,0.0
1,1724570_2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,317788_2021,134930000.0,0.4302902936740024,0.8761662273164851,0.6101622385194274,0.2977391444108114,,14.701990302965365,,,,0.0,0.0,0.0,0.0,,0.3072169449591098,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0
1,1261333_2021,1088989000.0,0.7494520135962567,1.063279096721196,-1.2617124896917642,0.642191470838077,,-14.29087550976529,190203000.0,,,-0.0,-0.0,-0.0,-0.0,,-0.6682094611298199,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,0.0,1.0,,,0.0
1,1261333_2020,730737000.0,0.7502656649941323,1.3601406410986145,-1.1495415273593963,0.4118078504979032,,-12.364293865237096,49725000.0,,,-0.0,-0.0,-0.0,-0.0,,-0.8566195515429587,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,,,0.0
1,1505952_2021,153432000.0,0.7300028546959749,0.8884155721216425,-0.34563637740368264,0.17911457159207173,,-0.9080872364899625,-16337000.0,,,-0.0,-0.0,-0.0,-0.0,,-0.166102770141679,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,,,0.0
1,1467623_2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1467623_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1160951_2021,150264000.0,0.5771615133474169,5.1459226978187464,,0.1199554423062712,,-0.048854719475379685,94720000.0,,,-0.0,-0.0,-0.0,-0.0,,-0.0032429191722834873,0.0,,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,,,0.0
1,1773383_2021,575801000.0,0.8184699840371623,1.0499621089933648,0.2674175691541643,0.39188291736424957,,4.579490579001868,219604000.0,,,0.0,0.0,0.0,0.0,,0.5928681053653647,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,,,0.0
1,1773383_2020,416872000.0,0.76377740686658,0.9611883820822255,-1.488408314896645,0.3107388262093486,,-26.569091243063355,-43008000.0,,,-0.0,-0.0,-0.0,-0.0,,-3.2422303402595185,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,,,0.0
1,814549_2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,814549_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1707753_2021,447435000.0,0.7353214273388673,1.4159839116473896,-1.4296730669703759,0.41991741899363144,,-12.077728789045187,31576000.0,,,-0.0,-0.0,-0.0,-0.0,,-0.8036683348442137,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,,,0.0
1,1707753_2020,304930000.0,0.7130863851082737,1.4940981382846334,-2.017621255749878,0.35761937186522297,,-18.599936803784654,-48415000.0,,,-0.0,-0.0,-0.0,-0.0,,-1.3625723367837639,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,,,0.0
1,1337619_2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1337619_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1437352_2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1437352_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,814547_2021,,,0.9852773659843314,14.222431804991293,0.21631569317442015,27.979040817783947,15.166820558862701,,,,0.0,0.0,0.0,0.0,10970134240.0,,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,0.0,1.0,,1.0,
1,814547_2020,,,1.288453141171163,,0.1890104187803429,,10.77996533608991,,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,,0.0,1.0,,,
1,922521_2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1517413_2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1517413_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1370880_2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1370880_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1288847_2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1288847_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1262039_2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1262039_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1682325_2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1528396_2021,368213000.0,0.4953980198232936,4.512893171813502,,0.1856995159546971,,,269470000.0,,,,,,,9583966886.4,,0.0,,0.0,,,,,0.0,,,,1.0,
1,1528396_2020,404292000.0,0.5446425804956709,5.964608921926483,,0.13592609224707383,,,314129000.0,,,,,,,9820130095.5,,0.0,,0.0,,,,,1.0,,,,1.0,
1,1404655_2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1404655_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,837852_2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,896878_2021,8069000000.0,0.8376414408803072,1.9423728813559322,7.5466173806430366,0.21592387768379961,,16.76968119713728,,,,0.0,0.0,0.0,0.0,,1.3184143222506395,1.0,1.0,0.0,,1.0,0.0,0.0,1.0,0.0,1.0,,,1.0
1,896878_2020,,,2.2612638141116466,6.976388782761519,0.3242076251722554,,16.77537896187414,,,,0.0,0.0,0.0,0.0,,1.4221183800623054,0.0,1.0,0.0,,1.0,0.0,0.0,,0.0,1.0,,,1.0
1,829323_2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,829323_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1084048_2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1084048_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,807882_2021,,,0.5134471504196727,,0.18650179209844414,,9.394347805387858,,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,,0.0,1.0,,,
