cik_date,GrossProfit,GrossMargin,WorkingCapitalRatio,EarningPerShare,DebtToEquityRatio,PEratio,ReturnOfEquity,EBIDTAratio,EvRatio,EVbyEbidta,ChurnRate,GrowthRate,ProfitMargin,RuleOf40,MarketCap,MagicNumber,wce_label,eps_label,de_label,pe_label,roe_label,growth_rate_label,profitm_label,grossm_label,ro40_label,churnrate_label,EVbyEbidta_label,marketCap_label,magicNum_label,aggregate,predicted_aggregate
727634_2019,4162982395.0178943,0.7313169059725364,0.0231114915471859,-0.1885416666666666,0.0360429152108352,-2.386740331491713,-0.8376333387324433,329243984.2387387,7935446017.817999,4.57341263382835,-0.0,-0.0,-0.0,-0.0,2592000.0,-33.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.07692307692307693,0.07615724
727634_2020,4162982395.0178943,0.7313169059725364,0.0271728271728271,-0.0916348490107601,0.0385643728377368,-3.4921212121212126,-0.4068329442222786,329243984.2387387,7935446017.817999,4.57341263382835,-0.5138121546961326,-51.38121546961326,-51.38121546961326,-102.76243093922652,1843840.0,-16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.07692307692307693,0.07735652
843006_2018,4162982395.0178943,0.7313169059725364,7.305384615384615,0.2185622832003158,0.1013131746093597,51.93027741935484,3.2615048903090056,329243984.2387387,7935446017.817999,4.57341263382835,0.0,0.0,0.0,0.0,43465642.2,-1.2083964559559142,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.15384615384615385,0.15344769
843006_2019,4162982395.0178943,0.7313169059725364,4.6890625,0.1811748263125007,0.1471264367816092,64.52331285714286,2.628352490421456,329243984.2387387,7935446017.817999,4.57341263382835,-0.1804062126642771,-18.04062126642772,-18.04062126642772,-36.08124253285544,44262992.62,-1.2083964559559142,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.15384615384615385,0.156418
843006_2020,4162982395.0178943,0.7313169059725364,4.884909368857829,0.5585092840897519,0.1627105394072916,31.35131411206078,7.483476654111293,329243984.2387387,7935446017.817999,4.57341263382835,2.0699708454810497,206.99708454810497,206.99708454810497,413.99416909620993,66025867.52,-1.2083964559559142,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.30816776
843006_2021,4162982395.0178943,0.7313169059725364,4.807480179248535,0.867527885578054,0.1834914611005692,33.94703558189,10.407969639468693,329243984.2387387,7935446017.817999,4.57341263382835,0.5626780626780626,56.26780626780626,56.26780626780626,112.53561253561251,111719694.1,-1.2083964559559142,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.3076923076923077,0.3074684
1084048_2020,4162982395.0178943,0.7313169059725364,0.705725522544153,3.397507319045438,0.7287728175799204,26.834379278280725,12.441433570764431,329243984.2387387,7935446017.817999,4.57341263382835,0.0,0.0,0.0,0.0,4043082257.1,-1.2083964559559142,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.38461538461538464,0.4046749
1084048_2021,4162982395.0178943,0.7313169059725364,2.6157976663086893,10.470332326401165,0.2526959972191335,10.818185752747054,25.24297007925876,329243984.2387387,7935446017.817999,4.57341263382835,2.2967451615472427,229.67451615472427,229.67451615472427,459.34903230944855,5373544317.99,-1.2083964559559142,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.46153846153846156,0.46203873
807882_2019,4162982395.0178943,0.7313169059725364,1.4443747902458792,0.277871306770607,0.1001392487416251,inf,5.988266581443393,329243984.2387387,7935446017.817999,4.57341263382835,0.0,0.0,0.0,0.0,39393258646.38836,0.3800740532056184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.07692307692307693,0.07668403
807882_2020,4162982395.0178943,0.7313169059725364,0.9859763657838604,0.277871306770607,0.2080135141494587,inf,5.486089508015776,329243984.2387387,7935446017.817999,4.57341263382835,-0.049482723932357,-4.948272393235702,-4.948272393235702,-9.896544786471404,39393258646.38836,0.3612669537569928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.07692307692307693,0.07720843
