cik_date,GrossProfit,GrossMargin,WorkingCapitalRatio,EarningPerShare,DebtToEquityRatio,PEratio,ReturnOfEquity,EBIDTAratio,EvRatio,EVbyEbidta,ChurnRate,GrowthRate,ProfitMargin,RuleOf40,MarketCap,MagicNumber,wce_label,eps_label,de_label,pe_label,roe_label,growth_rate_label,profitm_label,grossm_label,ro40_label,churnrate_label,EVbyEbidta_label,marketCap_label,magicNum_label
929940_2021,,,5.428651169,4.709068302,0.079594721,,17.98532506,,,,0.39243962,39.24396202,39.24396202,78.48792403,,,0,1,0,,1,0,1,,1,1,,,
884144_2020,38093000,0.581510373,1.023449888,-0.859831313,2.403129355,-8.257433634,-11.1985335,,,,0,0,0,0,134687000,-0.594987962,0,0,0,0,0,0,0,1,0,1,,0,0
884144_2021,46564000,0.6121687,1.073041671,0.159426802,1.471347321,49.11344817,2.017821031,,,,-1.195757464,-119.5757464,-119.5757464,-239.1514929,156819240,0.116473335,0,0,1,1,0,0,0,1,0,1,,0,0
1362190_2021,,,2.21389087,-1.242588544,0.126179842,-5.649496798,-15.98510502,,,,0,0,0,0,80273700,,0,0,0,0,0,0,0,,0,1,,0,
769397_2019,181999784,0.999998813,0.703980532,2.95E-07,1.110885832,499160432.8,3.123340574,181997691.1,,,0,0,0,0,32295680000,0.299537037,0,0,1,1,0,0,0,1,0,1,,1,0
769397_2020,3050.4,0.931618972,0.826074801,9.78E-07,1.389382823,201346806.5,9.257660768,667.9,,,2.315301391,231.5301391,231.5301391,463.0602782,43188890000,0.993055556,0,0,1,1,0,1,1,1,1,0,,1,0
769397_2021,3548.3,0.936128113,0.829323747,5.501821494,1.262049711,50.42511836,46.84943193,966.2,,,4.632634033,463.2634033,463.2634033,926.5268065,60923.628,5.396159,0,1,1,1,1,1,1,1,1,0,,0,1
769397_2022,4087.3,0.931811964,0.689330074,2.277726856,1.371626013,109.6663541,17.00249735,1036.1,,,-0.588644264,-58.86442642,-58.86442642,-117.7288528,54504.178,2.052870715,0,1,1,1,1,0,0,1,0,1,,0,1
8670_2020,6144.7,0.421164101,1.047715308,5.737380786,5.237404819,25.950866,42.8792462,,,,0,0,0,0,64007.811,0.292062853,0,1,0,1,1,0,0,0,0,1,,0,0
8670_2021,6365.1,0.424187293,1.069484549,6.132877036,6.718541119,32.38610506,45.82811591,,,,0.05351713,5.351712954,5.351712954,10.70342591,84155.294,0.307693219,0,1,0,1,1,0,0,0,0,1,,0,0
1348036_2019,,,2.078828556,-6.48E-07,0.279180281,-113009282.9,-5.14E-06,40864000,,,0,0,0,0,5673066000,,0,0,0,0,0,0,0,,0,1,,1,
1348036_2020,,,2.197945365,-5.78E-07,0.230943763,-285065317.5,-3.00E-06,81127000,,,-0.019920319,-1.992031873,-1.992031873,-3.984063745,14025213620,,0,0,0,0,0,0,0,,0,1,,1,
1348036_2021,,,3.127899336,-1.44E-06,0.331104479,-89806729.79,-7.30E-06,98279000,,,1.544715447,154.4715447,154.4715447,308.9430894,11243802570,,0,0,0,0,0,1,1,,1,0,,1,
1418100_2020,2159000000,0.75147929,1.388742304,0.444292969,0.784679089,36.01227373,2.553485162,838000000,,,0,0,0,0,1332454128,0.051820728,0,0,1,1,0,0,0,1,0,1,,0,0
1418100_2021,2221000000,0.747056845,1.450319052,-0.154549212,0.747784594,-128.049828,-0.886162236,1503000000,,,-1.351351351,-135.1351351,-135.1351351,-270.2702703,1664647764,-0.018207283,0,0,1,0,0,0,0,1,0,1,,0,0
1015739_2021,,,6.761017244,-0.269454983,0.058714639,,-5.956350099,,,,0,0,0,0,,-4.81322314,0,0,0,,0,0,0,,0,1,,,0
